"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Тестирование класса получения заказов","3681","Проверяем получение заказов с авторизацией пользователя","tests","Fri May 16 22:26:04 MSK 2025","passed","Fri May 16 22:26:08 MSK 2025","TestGetOrders","test_get_orders","",""
"Тестирование класса создания пользователя","1","Создаем нового пользователя, через рандом с уникальными данными","tests","Fri May 16 22:26:02 MSK 2025","passed","Fri May 16 22:26:02 MSK 2025","TestCreateUser","test_create_user","",""
"Тестирование класса создания заказа","146","Проверяем создание заказа без ингредиентов","tests","Fri May 16 22:26:00 MSK 2025","passed","Fri May 16 22:26:00 MSK 2025","TestCreateOrder","test_create_order","",""
"Тестирование класса создания заказа","140","Проверяем создание заказа c несуществующим хэш ингредиента и авторизованным пользователем","tests","Fri May 16 22:26:01 MSK 2025","passed","Fri May 16 22:26:01 MSK 2025","TestCreateOrder","test_create_order","",""
"Проверяем, что любое поле можно изменить, проверка кода ответа","247","Проверяем возможность обновления данных у авторизованного пользователя","tests","Fri May 16 22:26:11 MSK 2025","passed","Fri May 16 22:26:12 MSK 2025","TestUpdateUserData","test_update_user_data","",""
"Тестирование класса создания пользователя","144","Проверка появления ошибки при регистрации без передачи поля password ","tests","Fri May 16 22:26:04 MSK 2025","passed","Fri May 16 22:26:04 MSK 2025","TestCreateUser","test_create_user","",""
"Тестирование класса авторизации пользователя","243","Проверяем появление ошибки при авторизации с некорректным password","tests","Fri May 16 22:26:10 MSK 2025","passed","Fri May 16 22:26:10 MSK 2025","TestLoginUser","test_login_user","",""
"Тестирование класса создания пользователя","151","Проверка невозможности создания уже существующего пользователя","tests","Fri May 16 22:26:03 MSK 2025","passed","Fri May 16 22:26:03 MSK 2025","TestCreateUser","test_create_user","",""
"Тестирование класса создания заказа","160","Проверяем создание заказа с ингредиентами, когда пользователь не авторизован","tests","Fri May 16 22:26:00 MSK 2025","passed","Fri May 16 22:26:00 MSK 2025","TestCreateOrder","test_create_order","",""
"Тестирование класса авторизации пользователя","308","Проверяем успешную авторизацию зарегистрированного пользователя","tests","Fri May 16 22:26:09 MSK 2025","passed","Fri May 16 22:26:09 MSK 2025","TestLoginUser","test_login_user","",""
"Тестирование класса создания пользователя","147","Проверка появления ошибки при регистрации без передачи поля name","tests","Fri May 16 22:26:04 MSK 2025","passed","Fri May 16 22:26:04 MSK 2025","TestCreateUser","test_create_user","",""
"Тестирование класса получения заказов","140","Проверяем получение заказов без авторизации пользователя","tests","Fri May 16 22:26:04 MSK 2025","passed","Fri May 16 22:26:04 MSK 2025","TestGetOrders","test_get_orders","",""
"Тестирование класса создания заказа","2971","Проверяем создание заказа с ингредиентами, когда пользователь авторизован","tests","Fri May 16 22:25:56 MSK 2025","passed","Fri May 16 22:25:59 MSK 2025","TestCreateOrder","test_create_order","",""
"Тестирование класса создания пользователя","143","Проверка появления ошибки при регистрации без передачи поля Email","tests","Fri May 16 22:26:03 MSK 2025","passed","Fri May 16 22:26:04 MSK 2025","TestCreateUser","test_create_user","",""
"Проверяем, что возвращается ошибка при изменении данных у неавторизованного пользователя","144","Проверяем невозможность обновления данных у неавторизованного пользователя","tests","Fri May 16 22:26:12 MSK 2025","passed","Fri May 16 22:26:12 MSK 2025","TestUpdateUserData","test_update_user_data","",""
